"coverage","METRIC.F1_Score","caller"
16.83305,0.995585,"GATK-4.1.0.0"
16.8793,0.997671,"DV-0.10.0"
16.8793,0.993851,"GATK-3.5.0"
16.8793,0.996079,"GATK-4.1.0.0"
16.893277,0.997597,"DV-0.10.0"
16.893277,0.993393,"GATK-3.5.0"
16.893277,0.995831,"GATK-4.1.0.0"
16.964801,0.997904,"DV-0.10.0"
16.964801,0.993576,"GATK-3.5.0"
16.964801,0.996223,"GATK-4.1.0.0"
17.109118,0.997579,"DV-0.10.0"
17.109118,0.993392,"GATK-3.5.0"
17.109118,0.9959,"GATK-4.1.0.0"
17.113607,0.997432,"DV-0.10.0"
17.113607,0.992904,"GATK-3.5.0"
17.113607,0.995417,"GATK-4.1.0.0"
17.141761,0.998267,"DV-0.10.0"
17.141761,0.994396,"GATK-3.5.0"
17.141761,0.996603,"GATK-4.1.0.0"
17.168761,0.997183,"DV-0.10.0"
17.168761,0.992621,"GATK-3.5.0"
17.168761,0.995182,"GATK-4.1.0.0"
17.170608,0.998011,"DV-0.10.0"
17.170608,0.993916,"GATK-3.5.0"
17.170608,0.996293,"GATK-4.1.0.0"
17.189283,0.997704,"DV-0.10.0"
17.189283,0.993357,"GATK-3.5.0"
17.189283,0.996103,"GATK-4.1.0.0"
17.246637,0.998166,"DV-0.10.0"
17.246637,0.993776,"GATK-3.5.0"
17.246637,0.9964,"GATK-4.1.0.0"
17.266456,0.998331,"DV-0.10.0"
17.266456,0.994477,"GATK-3.5.0"
17.266456,0.996877,"GATK-4.1.0.0"
17.284694,0.998031,"DV-0.10.0"
17.284694,0.994428,"GATK-3.5.0"
17.284694,0.996555,"GATK-4.1.0.0"
17.286196,0.997576,"DV-0.10.0"
17.286196,0.993603,"GATK-3.5.0"
17.286196,0.99603,"GATK-4.1.0.0"
17.307049,0.998141,"DV-0.10.0"
17.307049,0.993819,"GATK-3.5.0"
17.307049,0.996375,"GATK-4.1.0.0"
17.336985,0.997876,"DV-0.10.0"
17.336985,0.993876,"GATK-3.5.0"
17.336985,0.996153,"GATK-4.1.0.0"
17.413096,0.998078,"DV-0.10.0"
17.413096,0.994582,"GATK-3.5.0"
17.413096,0.996709,"GATK-4.1.0.0"
17.432559,0.998095,"DV-0.10.0"
17.432559,0.994279,"GATK-3.5.0"
17.432559,0.9966,"GATK-4.1.0.0"
17.515588,0.998168,"DV-0.10.0"
17.515588,0.994328,"GATK-3.5.0"
17.515588,0.996593,"GATK-4.1.0.0"
17.740066,0.99807,"DV-0.10.0"
17.740066,0.994165,"GATK-3.5.0"
17.740066,0.996537,"GATK-4.1.0.0"
17.759463,0.998717,"DV-0.10.0"
17.759463,0.995368,"GATK-3.5.0"
17.759463,0.997327,"GATK-4.1.0.0"
17.778058,0.997972,"DV-0.10.0"
17.778058,0.994315,"GATK-3.5.0"
17.778058,0.996479,"GATK-4.1.0.0"
17.807116,0.998042,"DV-0.10.0"
17.807116,0.994628,"GATK-3.5.0"
17.807116,0.99669,"GATK-4.1.0.0"
17.841397,0.998161,"DV-0.10.0"
17.841397,0.994352,"GATK-3.5.0"
17.841397,0.996626,"GATK-4.1.0.0"
17.856843,0.998648,"DV-0.10.0"
17.856843,0.995202,"GATK-3.5.0"
17.856843,0.997148,"GATK-4.1.0.0"
17.917964,0.997984,"DV-0.10.0"
17.917964,0.99492,"GATK-3.5.0"
17.917964,0.996817,"GATK-4.1.0.0"
17.924523,0.998512,"DV-0.10.0"
17.924523,0.994622,"GATK-3.5.0"
17.924523,0.996975,"GATK-4.1.0.0"
17.927298,0.998155,"DV-0.10.0"
17.927298,0.995124,"GATK-3.5.0"
17.927298,0.996985,"GATK-4.1.0.0"
17.951169,0.998237,"DV-0.10.0"
17.951169,0.99506,"GATK-3.5.0"
17.951169,0.996975,"GATK-4.1.0.0"
18.025559,0.998285,"DV-0.10.0"
18.025559,0.995194,"GATK-3.5.0"
18.025559,0.997074,"GATK-4.1.0.0"
18.051344,0.998236,"DV-0.10.0"
18.051344,0.995095,"GATK-3.5.0"
18.051344,0.996945,"GATK-4.1.0.0"
18.074619,0.997969,"DV-0.10.0"
18.074619,0.994794,"GATK-3.5.0"
18.074619,0.996735,"GATK-4.1.0.0"
18.101287,0.998166,"DV-0.10.0"
18.101287,0.994956,"GATK-3.5.0"
18.101287,0.996869,"GATK-4.1.0.0"
18.115907,0.998418,"DV-0.10.0"
18.115907,0.995221,"GATK-3.5.0"
18.115907,0.997187,"GATK-4.1.0.0"
18.220483,0.998568,"DV-0.10.0"
18.220483,0.995694,"GATK-3.5.0"
18.220483,0.997362,"GATK-4.1.0.0"
18.230326,0.998333,"DV-0.10.0"
18.230326,0.995129,"GATK-3.5.0"
18.230326,0.99699,"GATK-4.1.0.0"
18.234883,0.998216,"DV-0.10.0"
18.234883,0.995289,"GATK-3.5.0"
18.234883,0.997018,"GATK-4.1.0.0"
18.241354,0.998325,"DV-0.10.0"
18.241354,0.995174,"GATK-3.5.0"
18.241354,0.997105,"GATK-4.1.0.0"
18.264216,0.998613,"DV-0.10.0"
18.264216,0.995994,"GATK-3.5.0"
18.264216,0.99764,"GATK-4.1.0.0"
18.281539,0.99833,"DV-0.10.0"
18.281539,0.995455,"GATK-3.5.0"
18.281539,0.997045,"GATK-4.1.0.0"
18.316786,0.997955,"DV-0.10.0"
18.316786,0.99482,"GATK-3.5.0"
18.316786,0.996725,"GATK-4.1.0.0"
18.342553,0.998394,"DV-0.10.0"
18.342553,0.995333,"GATK-3.5.0"
18.342553,0.997112,"GATK-4.1.0.0"
18.345802,0.99814,"DV-0.10.0"
18.345802,0.995173,"GATK-3.5.0"
18.345802,0.996915,"GATK-4.1.0.0"
18.359108,0.998636,"DV-0.10.0"
18.359108,0.995552,"GATK-3.5.0"
18.359108,0.997373,"GATK-4.1.0.0"
18.385816,0.998785,"DV-0.10.0"
18.385816,0.995439,"GATK-3.5.0"
18.385816,0.997396,"GATK-4.1.0.0"
18.422282,0.998279,"DV-0.10.0"
18.422282,0.995535,"GATK-3.5.0"
18.422282,0.997228,"GATK-4.1.0.0"
18.479498,0.99834,"DV-0.10.0"
18.479498,0.995462,"GATK-3.5.0"
18.479498,0.997304,"GATK-4.1.0.0"
18.539527,0.9986,"DV-0.10.0"
18.539527,0.995994,"GATK-3.5.0"
18.539527,0.997663,"GATK-4.1.0.0"
18.579342,0.998914,"DV-0.10.0"
18.579342,0.996261,"GATK-3.5.0"
18.579342,0.997871,"GATK-4.1.0.0"
18.697316,0.998432,"DV-0.10.0"
18.697316,0.995884,"GATK-3.5.0"
18.697316,0.997516,"GATK-4.1.0.0"
18.728274,0.998417,"DV-0.10.0"
18.728274,0.995826,"GATK-3.5.0"
18.728274,0.99744,"GATK-4.1.0.0"
18.770183,0.99863,"DV-0.10.0"
18.770183,0.996259,"GATK-3.5.0"
18.770183,0.997643,"GATK-4.1.0.0"
18.902282,0.99873,"DV-0.10.0"
18.902282,0.996308,"GATK-3.5.0"
18.902282,0.997795,"GATK-4.1.0.0"
19.016843,0.998634,"DV-0.10.0"
19.016843,0.996235,"GATK-3.5.0"
19.016843,0.997675,"GATK-4.1.0.0"
19.209505,0.998688,"DV-0.10.0"
19.209505,0.996589,"GATK-3.5.0"
19.209505,0.997917,"GATK-4.1.0.0"
19.252126,0.998641,"DV-0.10.0"
19.252126,0.996677,"GATK-3.5.0"
19.252126,0.99779,"GATK-4.1.0.0"
19.269379,0.998576,"DV-0.10.0"
19.269379,0.996131,"GATK-3.5.0"
19.269379,0.997633,"GATK-4.1.0.0"
19.315056,0.999065,"DV-0.10.0"
19.315056,0.996727,"GATK-3.5.0"
19.315056,0.99817,"GATK-4.1.0.0"
19.403523,0.998718,"DV-0.10.0"
19.403523,0.996595,"GATK-3.5.0"
19.403523,0.997823,"GATK-4.1.0.0"
19.419836,0.998792,"DV-0.10.0"
19.419836,0.996627,"GATK-3.5.0"
19.419836,0.99792,"GATK-4.1.0.0"
19.430722,0.998479,"DV-0.10.0"
19.430722,0.996171,"GATK-3.5.0"
19.430722,0.997572,"GATK-4.1.0.0"
19.499309,0.998864,"DV-0.10.0"
19.499309,0.996801,"GATK-3.5.0"
19.499309,0.998099,"GATK-4.1.0.0"
19.674801,0.998793,"DV-0.10.0"
19.674801,0.996718,"GATK-3.5.0"
19.674801,0.997968,"GATK-4.1.0.0"
19.72005,0.999133,"DV-0.10.0"
19.72005,0.997167,"GATK-3.5.0"
19.72005,0.998363,"GATK-4.1.0.0"
19.966572,0.998917,"DV-0.10.0"
19.966572,0.996879,"GATK-3.5.0"
19.966572,0.998116,"GATK-4.1.0.0"
20.09989,0.998517,"DV-0.10.0"
20.09989,0.996402,"GATK-3.5.0"
20.09989,0.997647,"GATK-4.1.0.0"
20.155782,0.999005,"DV-0.10.0"
20.155782,0.997518,"GATK-3.5.0"
20.155782,0.998464,"GATK-4.1.0.0"
20.183471,0.99897,"DV-0.10.0"
20.183471,0.997247,"GATK-3.5.0"
20.183471,0.998259,"GATK-4.1.0.0"
20.253091,0.998919,"DV-0.10.0"
20.253091,0.997309,"GATK-3.5.0"
20.253091,0.998265,"GATK-4.1.0.0"
20.744195,0.998878,"DV-0.10.0"
20.744195,0.99723,"GATK-3.5.0"
20.744195,0.998203,"GATK-4.1.0.0"
20.952687,0.998975,"DV-0.10.0"
20.952687,0.997537,"GATK-3.5.0"
20.952687,0.998439,"GATK-4.1.0.0"
20.997305,0.999008,"DV-0.10.0"
20.997305,0.997166,"GATK-3.5.0"
20.997305,0.998223,"GATK-4.1.0.0"
21.033742,0.999084,"DV-0.10.0"
21.033742,0.99754,"GATK-3.5.0"
21.033742,0.998536,"GATK-4.1.0.0"
21.039703,0.999034,"DV-0.10.0"
21.039703,0.997514,"GATK-3.5.0"
21.039703,0.998419,"GATK-4.1.0.0"
21.318207,0.999045,"DV-0.10.0"
21.318207,0.997906,"GATK-3.5.0"
21.318207,0.998658,"GATK-4.1.0.0"
21.705026,0.999184,"DV-0.10.0"
21.705026,0.998036,"GATK-3.5.0"
21.705026,0.998704,"GATK-4.1.0.0"
21.876073,0.999105,"DV-0.10.0"
21.876073,0.998097,"GATK-3.5.0"
21.876073,0.998721,"GATK-4.1.0.0"
22.245602,0.999259,"DV-0.10.0"
22.245602,0.998364,"GATK-3.5.0"
22.245602,0.998882,"GATK-4.1.0.0"
22.429471,0.999208,"DV-0.10.0"
22.429471,0.998337,"GATK-3.5.0"
22.429471,0.998837,"GATK-4.1.0.0"
22.550954,0.999228,"DV-0.10.0"
22.550954,0.998399,"GATK-3.5.0"
22.550954,0.998887,"GATK-4.1.0.0"
23.494669,0.99928,"DV-0.10.0"
23.494669,0.998491,"GATK-3.5.0"
23.494669,0.99894,"GATK-4.1.0.0"
24.563389,0.999367,"DV-0.10.0"
24.563389,0.99886,"GATK-3.5.0"
24.563389,0.999108,"GATK-4.1.0.0"
24.769481,0.999303,"DV-0.10.0"
24.769481,0.998752,"GATK-3.5.0"
24.769481,0.99911,"GATK-4.1.0.0"
26.862258,0.999524,"DV-0.10.0"
26.862258,0.999318,"GATK-3.5.0"
26.862258,0.999456,"GATK-4.1.0.0"
27.012523,0.999489,"DV-0.10.0"
27.012523,0.999256,"GATK-3.5.0"
27.012523,0.999375,"GATK-4.1.0.0"
