"coverage","METRIC.F1_Score","caller"
12.114864,0.97603,"GATK-3.5.0"
12.114864,0.986449,"GATK-4.1.0.0"
12.119879,0.990182,"DV-0.10.0"
12.119879,0.973228,"GATK-3.5.0"
12.119879,0.984169,"GATK-4.1.0.0"
12.125816,0.99077,"DV-0.10.0"
12.125816,0.973349,"GATK-3.5.0"
12.125816,0.984019,"GATK-4.1.0.0"
12.131596,0.989699,"DV-0.10.0"
12.131596,0.970744,"GATK-3.5.0"
12.131596,0.982437,"GATK-4.1.0.0"
12.134329,0.993413,"DV-0.10.0"
12.134329,0.977202,"GATK-3.5.0"
12.134329,0.98707,"GATK-4.1.0.0"
12.153676,0.990093,"DV-0.10.0"
12.153676,0.972412,"GATK-3.5.0"
12.153676,0.983097,"GATK-4.1.0.0"
12.228693,0.962211,"DV-0.10.0"
12.228693,0.946389,"GATK-3.5.0"
12.228693,0.955975,"GATK-4.1.0.0"
12.259094,0.99114,"DV-0.10.0"
12.259094,0.974613,"GATK-3.5.0"
12.259094,0.985153,"GATK-4.1.0.0"
12.362385,0.992926,"DV-0.10.0"
12.362385,0.977362,"GATK-3.5.0"
12.362385,0.986874,"GATK-4.1.0.0"
12.378533,0.992391,"DV-0.10.0"
12.378533,0.97787,"GATK-3.5.0"
12.378533,0.986863,"GATK-4.1.0.0"
12.384377,0.994195,"DV-0.10.0"
12.384377,0.978681,"GATK-3.5.0"
12.384377,0.98806,"GATK-4.1.0.0"
12.406304,0.991576,"DV-0.10.0"
12.406304,0.975425,"GATK-3.5.0"
12.406304,0.98582,"GATK-4.1.0.0"
12.457997,0.99326,"DV-0.10.0"
12.457997,0.977255,"GATK-3.5.0"
12.457997,0.986939,"GATK-4.1.0.0"
12.597376,0.993394,"DV-0.10.0"
12.597376,0.97693,"GATK-3.5.0"
12.597376,0.986919,"GATK-4.1.0.0"
12.63834,0.992777,"DV-0.10.0"
12.63834,0.979935,"GATK-3.5.0"
12.63834,0.9881,"GATK-4.1.0.0"
12.659972,0.991991,"DV-0.10.0"
12.659972,0.977155,"GATK-3.5.0"
12.659972,0.986168,"GATK-4.1.0.0"
12.705529,0.993959,"DV-0.10.0"
12.705529,0.979192,"GATK-3.5.0"
12.705529,0.988316,"GATK-4.1.0.0"
12.795756,0.993223,"DV-0.10.0"
12.795756,0.980312,"GATK-3.5.0"
12.795756,0.988392,"GATK-4.1.0.0"
12.816382,0.993086,"DV-0.10.0"
12.816382,0.978839,"GATK-3.5.0"
12.816382,0.987586,"GATK-4.1.0.0"
12.824135,0.992496,"DV-0.10.0"
12.824135,0.977993,"GATK-3.5.0"
12.824135,0.986929,"GATK-4.1.0.0"
12.824284,0.993586,"DV-0.10.0"
12.824284,0.980906,"GATK-3.5.0"
12.824284,0.98874,"GATK-4.1.0.0"
12.825323,0.994167,"DV-0.10.0"
12.825323,0.979222,"GATK-3.5.0"
12.825323,0.988375,"GATK-4.1.0.0"
12.89476,0.992527,"DV-0.10.0"
12.89476,0.979086,"GATK-3.5.0"
12.89476,0.987612,"GATK-4.1.0.0"
12.897432,0.992769,"DV-0.10.0"
12.897432,0.979605,"GATK-3.5.0"
12.897432,0.987704,"GATK-4.1.0.0"
12.92497,0.994613,"DV-0.10.0"
12.92497,0.980542,"GATK-3.5.0"
12.92497,0.988831,"GATK-4.1.0.0"
12.973937,0.993187,"DV-0.10.0"
12.973937,0.979597,"GATK-3.5.0"
12.973937,0.987973,"GATK-4.1.0.0"
13.086129,0.993514,"DV-0.10.0"
13.086129,0.981173,"GATK-3.5.0"
13.086129,0.988749,"GATK-4.1.0.0"
13.088327,0.992578,"DV-0.10.0"
13.088327,0.979443,"GATK-3.5.0"
13.088327,0.987488,"GATK-4.1.0.0"
13.191496,0.993728,"DV-0.10.0"
13.191496,0.981562,"GATK-3.5.0"
13.191496,0.989069,"GATK-4.1.0.0"
13.219518,0.993277,"DV-0.10.0"
13.219518,0.979917,"GATK-3.5.0"
13.219518,0.988241,"GATK-4.1.0.0"
13.281785,0.994336,"DV-0.10.0"
13.281785,0.981436,"GATK-3.5.0"
13.281785,0.989347,"GATK-4.1.0.0"
13.299351,0.994638,"DV-0.10.0"
13.299351,0.98166,"GATK-3.5.0"
13.299351,0.989386,"GATK-4.1.0.0"
13.345729,0.993847,"DV-0.10.0"
13.345729,0.980814,"GATK-3.5.0"
13.345729,0.988569,"GATK-4.1.0.0"
13.346117,0.99461,"DV-0.10.0"
13.346117,0.981786,"GATK-3.5.0"
13.346117,0.989499,"GATK-4.1.0.0"
13.351952,0.994171,"DV-0.10.0"
13.351952,0.982474,"GATK-3.5.0"
13.351952,0.989421,"GATK-4.1.0.0"
13.381711,0.993469,"DV-0.10.0"
13.381711,0.98197,"GATK-3.5.0"
13.381711,0.989136,"GATK-4.1.0.0"
13.383598,0.99415,"DV-0.10.0"
13.383598,0.983275,"GATK-3.5.0"
13.383598,0.989843,"GATK-4.1.0.0"
13.407203,0.9937,"DV-0.10.0"
13.407203,0.98178,"GATK-3.5.0"
13.407203,0.989062,"GATK-4.1.0.0"
13.427577,0.993922,"DV-0.10.0"
