"method","panel","variant","nsnp","af","r2"
"beagle","1KGP","SNP",713700,0.000339157,0.0875257
"beagle","1KGP","SNP",769345,0.000740218,0.174977
"beagle","1KGP","SNP",1107679,0.00147617,0.288744
"beagle","1KGP","SNP",2174680,0.00337487,0.456859
"beagle","1KGP","SNP",2215253,0.00729644,0.579957
"beagle","1KGP","SNP",2490971,0.0144597,0.647339
"beagle","1KGP","SNP",3144499,0.0324834,0.724612
"beagle","1KGP","SNP",2078113,0.0716845,0.786876
"beagle","1KGP","SNP",1812824,0.143341,0.842439
"beagle","1KGP","SNP",2042189,0.323161,0.884736
"beagle","1KGP","SNP",1600945,0.732562,0.85786
"beagle","1KGP","INDEL",83545,4.82574e-05,0.0010979
"beagle","1KGP","INDEL",33739,0.000150855,0.00745154
"beagle","1KGP","INDEL",61023,0.000339175,0.0233857
"beagle","1KGP","INDEL",66959,0.000738844,0.0648718
"beagle","1KGP","INDEL",97268,0.00147662,0.139893
"beagle","1KGP","INDEL",192271,0.00337809,0.295217
"beagle","1KGP","INDEL",199051,0.00730709,0.434286
"beagle","1KGP","INDEL",228276,0.014462,0.517627
"beagle","1KGP","INDEL",292192,0.0324898,0.60405
"beagle","1KGP","INDEL",194062,0.0716663,0.667146
"beagle","1KGP","INDEL",168150,0.14319,0.709288
"beagle","1KGP","INDEL",184946,0.321858,0.699495
"beagle","1KGP","INDEL",133479,0.72557,0.511667
"minimac4","1KGP","SNP",1036884,4.7873e-05,0.00857969
"minimac4","1KGP","SNP",402511,0.000150688,0.0338139
"minimac4","1KGP","SNP",713700,0.000339157,0.0858026
"minimac4","1KGP","SNP",769345,0.000740218,0.171027
"minimac4","1KGP","SNP",1107679,0.00147617,0.27975
"minimac4","1KGP","SNP",2174680,0.00337487,0.442697
"minimac4","1KGP","SNP",2215253,0.00729644,0.564405
"minimac4","1KGP","SNP",2490971,0.0144597,0.631009
"minimac4","1KGP","SNP",3144499,0.0324834,0.707993
"minimac4","1KGP","SNP",2078113,0.0716845,0.770844
"minimac4","1KGP","SNP",1812824,0.143341,0.828663
"minimac4","1KGP","SNP",2042189,0.323161,0.872161
"minimac4","1KGP","SNP",1600945,0.732562,0.844104
"minimac4","1KGP","INDEL",83545,4.82574e-05,0.00105257
"minimac4","1KGP","INDEL",33739,0.000150855,0.00694416
"minimac4","1KGP","INDEL",61023,0.000339175,0.0224965
"minimac4","1KGP","INDEL",66959,0.000738844,0.0633007
"minimac4","1KGP","INDEL",97268,0.00147662,0.135422
"minimac4","1KGP","INDEL",192271,0.00337809,0.283948
"minimac4","1KGP","INDEL",199051,0.00730709,0.422037
"minimac4","1KGP","INDEL",228276,0.014462,0.504271
"minimac4","1KGP","INDEL",292192,0.0324898,0.590351
"minimac4","1KGP","INDEL",194062,0.0716663,0.653502
"minimac4","1KGP","INDEL",168150,0.14319,0.697204
"minimac4","1KGP","INDEL",184946,0.321858,0.68871
"minimac4","1KGP","INDEL",133479,0.72557,0.502567
"beagle","HRC","SNP",1036884,4.7873e-05,0.0215585
"beagle","HRC","SNP",402511,0.000150688,0.0682932
"beagle","HRC","SNP",713700,0.000339157,0.113019
"beagle","HRC","SNP",769345,0.000740218,0.151374
"beagle","HRC","SNP",1107679,0.00147617,0.18135
"beagle","HRC","SNP",2174680,0.00337487,0.280039
"beagle","HRC","SNP",2215253,0.00729644,0.451238
"beagle","HRC","SNP",2490971,0.0144597,0.554383
"beagle","HRC","SNP",3144499,0.0324834,0.654565
"beagle","HRC","SNP",2078113,0.0716845,0.725381
"beagle","HRC","SNP",1812824,0.143341,0.774009
"beagle","HRC","SNP",2042189,0.323161,0.782595
"beagle","HRC","SNP",1600945,0.732562,0.549818
"beagle","HRC","INDEL",83545,4.82574e-05,NA
"beagle","HRC","INDEL",33739,0.000150855,NA
"beagle","HRC","INDEL",61023,0.000339175,NA
"beagle","HRC","INDEL",66959,0.000738844,NA
"beagle","HRC","INDEL",97268,0.00147662,NA
"beagle","HRC","INDEL",192271,0.00337809,NA
"beagle","HRC","INDEL",199051,0.00730709,NA
"beagle","HRC","INDEL",228276,0.014462,NA
"beagle","HRC","INDEL",292192,0.0324898,NA
"beagle","HRC","INDEL",194062,0.0716663,NA
"beagle","HRC","INDEL",168150,0.14319,NA
"beagle","HRC","INDEL",184946,0.321858,NA
"beagle","HRC","INDEL",133479,0.72557,NA
"minimac4","HRC","SNP",1036884,4.7873e-05,0.0218817
"minimac4","HRC","SNP",402511,0.000150688,0.0688277
"minimac4","HRC","SNP",713700,0.000339157,0.113675
"minimac4","HRC","SNP",769345,0.000740218,0.153117
"minimac4","HRC","SNP",1107679,0.00147617,0.182609
"minimac4","HRC","SNP",2174680,0.00337487,0.279513
"minimac4","HRC","SNP",2215253,0.00729644,0.446745
"minimac4","HRC","SNP",2490971,0.0144597,0.547311
"minimac4","HRC","SNP",3144499,0.0324834,0.644104
"minimac4","HRC","SNP",2078113,0.0716845,0.713705
"minimac4","HRC","SNP",1812824,0.143341,0.762228
"minimac4","HRC","SNP",2042189,0.323161,0.771546
"minimac4","HRC","SNP",1600945,0.732562,0.541695
"minimac4","HRC","INDEL",83545,4.82574e-05,NA
"minimac4","HRC","INDEL",33739,0.000150855,NA
"minimac4","HRC","INDEL",61023,0.000339175,NA
"minimac4","HRC","INDEL",66959,0.000738844,NA
"minimac4","HRC","INDEL",97268,0.00147662,NA
"minimac4","HRC","INDEL",192271,0.00337809,NA
"minimac4","HRC","INDEL",199051,0.00730709,NA
"minimac4","HRC","INDEL",228276,0.014462,NA
"minimac4","HRC","INDEL",292192,0.0324898,NA
"minimac4","HRC","INDEL",194062,0.0716663,NA
"minimac4","HRC","INDEL",168150,0.14319,NA
"minimac4","HRC","INDEL",184946,0.321858,NA
"minimac4","HRC","INDEL",133479,0.72557,NA
"minimac4","CAAPA","SNP",1036884,4.7873e-05,0.000785276
"minimac4","CAAPA","SNP",402511,0.000150688,0.00572493
"minimac4","CAAPA","SNP",713700,0.000339157,0.0221712
"minimac4","CAAPA","SNP",769345,0.000740218,0.0695696
"minimac4","CAAPA","SNP",1107679,0.00147617,0.157049
"minimac4","CAAPA","SNP",2174680,0.00337487,0.304191
