SNP,9174685,0.000412592,0.432405,DV-GLx panel,DV truth
SNP,2435128,0.00154911,0.840134,DV-GLx panel,DV truth
SNP,3414988,0.00333351,0.906086,DV-GLx panel,DV truth
SNP,2468193,0.0072748,0.941269,DV-GLx panel,DV truth
SNP,2145583,0.0143219,0.957186,DV-GLx panel,DV truth
SNP,2153320,0.0319715,0.96493,DV-GLx panel,DV truth
SNP,1334218,0.072062,0.967582,DV-GLx panel,DV truth
SNP,1414495,0.145028,0.968383,DV-GLx panel,DV truth
SNP,2027987,0.32833,0.962861,DV-GLx panel,DV truth
SNP,1615743,0.734344,0.918398,DV-GLx panel,DV truth
INDEL,781082,0.000407444,0.399897,DV-GLx panel,DV truth
INDEL,231218,0.00152011,0.753513,DV-GLx panel,DV truth
INDEL,324527,0.00333911,0.823142,DV-GLx panel,DV truth
INDEL,235377,0.00723766,0.853377,DV-GLx panel,DV truth
INDEL,205652,0.0143216,0.860613,DV-GLx panel,DV truth
INDEL,207448,0.0319515,0.855395,DV-GLx panel,DV truth
INDEL,127389,0.0719886,0.846056,DV-GLx panel,DV truth
INDEL,130279,0.144699,0.837562,DV-GLx panel,DV truth
INDEL,179337,0.326571,0.800353,DV-GLx panel,DV truth
INDEL,137854,0.743495,0.603952,DV-GLx panel,DV truth
SNP,8860599,0.000414254,0.437179,DV-GLx panel,GATK truth
SNP,2360771,0.00155596,0.847587,DV-GLx panel,GATK truth
SNP,3334713,0.00333896,0.911884,DV-GLx panel,GATK truth
SNP,2420770,0.0072797,0.947194,DV-GLx panel,GATK truth
SNP,2026483,0.0141197,0.962722,DV-GLx panel,GATK truth
SNP,2179724,0.0313104,0.971405,DV-GLx panel,GATK truth
SNP,1332019,0.071492,0.9754,DV-GLx panel,GATK truth
SNP,1400396,0.144573,0.977843,DV-GLx panel,GATK truth
SNP,2007511,0.327922,0.978324,DV-GLx panel,GATK truth
SNP,1598234,0.733983,0.970913,DV-GLx panel,GATK truth
INDEL,463515,0.000459961,0.415114,DV-GLx panel,GATK truth
INDEL,194137,0.00154877,0.727764,DV-GLx panel,GATK truth
INDEL,318287,0.00339421,0.806697,DV-GLx panel,GATK truth
INDEL,245066,0.00726289,0.838886,DV-GLx panel,GATK truth
INDEL,207217,0.0141188,0.847632,DV-GLx panel,GATK truth
INDEL,223711,0.0313552,0.844563,DV-GLx panel,GATK truth
INDEL,135823,0.0713757,0.838544,DV-GLx panel,GATK truth
INDEL,137473,0.144253,0.834763,DV-GLx panel,GATK truth
INDEL,187499,0.325848,0.808735,DV-GLx panel,GATK truth
INDEL,139957,0.740704,0.652669,DV-GLx panel,GATK truth
SNP,9174685,0.000412592,0.376845,GATK panel,DV truth
SNP,2435128,0.00154911,0.785449,GATK panel,DV truth
SNP,3414988,0.00333351,0.872834,GATK panel,DV truth
SNP,2468193,0.0072748,0.914193,GATK panel,DV truth
SNP,2145583,0.0143219,0.930341,GATK panel,DV truth
SNP,2153320,0.0319715,0.936072,GATK panel,DV truth
SNP,1334218,0.072062,0.934534,GATK panel,DV truth
SNP,1414495,0.145028,0.932143,GATK panel,DV truth
SNP,2027987,0.32833,0.915321,GATK panel,DV truth
SNP,1615743,0.734344,0.762793,GATK panel,DV truth
INDEL,781082,0.000407444,0.270619,GATK panel,DV truth
INDEL,231218,0.00152011,0.643882,GATK panel,DV truth
INDEL,324527,0.00333911,0.775814,GATK panel,DV truth
INDEL,235377,0.00723766,0.828644,GATK panel,DV truth
INDEL,205652,0.0143216,0.840005,GATK panel,DV truth
INDEL,207448,0.0319515,0.836586,GATK panel,DV truth
INDEL,127389,0.0719886,0.828083,GATK panel,DV truth
INDEL,130279,0.144699,0.82138,GATK panel,DV truth
INDEL,179337,0.326571,0.786529,GATK panel,DV truth
INDEL,137854,0.743495,0.428484,GATK panel,DV truth
SNP,8860599,0.000414254,0.388877,GATK panel,GATK truth
SNP,2360771,0.00155596,0.80727,GATK panel,GATK truth
SNP,3334713,0.00333896,0.893338,GATK panel,GATK truth
SNP,2420770,0.0072797,0.933028,GATK panel,GATK truth
SNP,2026483,0.0141197,0.947134,GATK panel,GATK truth
SNP,2179724,0.0313104,0.950937,GATK panel,GATK truth
SNP,1332019,0.071492,0.950309,GATK panel,GATK truth
SNP,1400396,0.144573,0.950139,GATK panel,GATK truth
SNP,2007511,0.327922,0.940028,GATK panel,GATK truth
SNP,1598234,0.733983,0.834519,GATK panel,GATK truth
INDEL,463515,0.000459961,0.31184,GATK panel,GATK truth
INDEL,194137,0.00154877,0.66046,GATK panel,GATK truth
INDEL,318287,0.00339421,0.799419,GATK panel,GATK truth
INDEL,245066,0.00726289,0.85191,GATK panel,GATK truth
INDEL,207217,0.0141188,0.861955,GATK panel,GATK truth
INDEL,223711,0.0313552,0.85939,GATK panel,GATK truth
INDEL,135823,0.0713757,0.855389,GATK panel,GATK truth
INDEL,137473,0.144253,0.854238,GATK panel,GATK truth
INDEL,187499,0.325848,0.826276,GATK panel,GATK truth
INDEL,139957,0.740704,0.486489,GATK panel,GATK truth
