"coverage","id","METRIC.F1_Score","caller","TRUTH.TP","TRUTH.TOTAL","QUERY.FP","TRUTH.FN","FP.gt","FP.al","caller.1","Type"
9.302861,267,0.941843,"GATK-3.5.0",170417,189775,1688,19358,1665,0,"GATK-3.5.0","SNP"
9.302861,267,0.8,"GATK-4.1.0.0",6,8,1,2,1,0,"GATK-4.1.0.0","INDEL"
9.302861,267,0.966719,"GATK-4.1.0.0",179146,189775,1706,10629,1681,0,"GATK-4.1.0.0","SNP"
9.316651,157,1,"DV-0.10.0",6,6,0,0,0,0,"DV-0.10.0","INDEL"
9.316651,157,0.97246,"DV-0.10.0",179061,186607,2596,7546,2404,0,"DV-0.10.0","SNP"
9.316651,157,1,"GATK-3.5.0",6,6,0,0,0,0,"GATK-3.5.0","INDEL"
9.316651,157,0.93399,"GATK-3.5.0",165886,186607,2727,20721,2693,0,"GATK-3.5.0","SNP"
9.316651,157,1,"GATK-4.1.0.0",6,6,0,0,0,0,"GATK-4.1.0.0","INDEL"
9.316651,157,0.95989,"GATK-4.1.0.0",174771,186607,2770,11836,2715,0,"GATK-4.1.0.0","SNP"
9.431678,215,1,"DV-0.10.0",8,8,0,0,0,0,"DV-0.10.0","INDEL"
9.431678,215,0.97634,"DV-0.10.0",181819,188498,2133,6679,1941,0,"DV-0.10.0","SNP"
9.431678,215,0.857143,"GATK-3.5.0",6,8,0,2,0,0,"GATK-3.5.0","INDEL"
9.431678,215,0.941202,"GATK-3.5.0",169582,188498,2272,18916,2239,0,"GATK-3.5.0","SNP"
9.431678,215,1,"GATK-4.1.0.0",8,8,0,0,0,0,"GATK-4.1.0.0","INDEL"
9.431678,215,0.964911,"GATK-4.1.0.0",177864,188498,2302,10634,2248,0,"GATK-4.1.0.0","SNP"
9.454196,194,1,"DV-0.10.0",5,5,0,0,0,0,"DV-0.10.0","INDEL"
9.454196,194,0.977228,"DV-0.10.0",180109,186736,1767,6627,1688,0,"DV-0.10.0","SNP"
9.454196,194,1,"GATK-3.5.0",5,5,0,0,0,0,"GATK-3.5.0","INDEL"
9.454196,194,0.938909,"GATK-3.5.0",167076,186736,2082,19660,2060,0,"GATK-3.5.0","SNP"
9.454196,194,1,"GATK-4.1.0.0",5,5,0,0,0,0,"GATK-4.1.0.0","INDEL"
9.454196,194,0.964193,"GATK-4.1.0.0",175784,186736,2104,10952,2072,0,"GATK-4.1.0.0","SNP"
9.510549,273,0.933333,"DV-0.10.0",7,8,0,1,0,0,"DV-0.10.0","INDEL"
9.510549,273,0.979154,"DV-0.10.0",181915,187906,1755,5991,1630,0,"DV-0.10.0","SNP"
9.510549,273,0.933333,"GATK-3.5.0",7,8,0,1,0,0,"GATK-3.5.0","INDEL"
9.510549,273,0.944586,"GATK-3.5.0",169981,187906,2019,17925,1953,0,"GATK-3.5.0","SNP"
9.510549,273,0.933333,"GATK-4.1.0.0",7,8,0,1,0,0,"GATK-4.1.0.0","INDEL"
9.510549,273,0.967521,"GATK-4.1.0.0",178032,187906,2079,9874,1950,0,"GATK-4.1.0.0","SNP"
9.884974,232,0.923077,"DV-0.10.0",6,7,0,1,0,0,"DV-0.10.0","INDEL"
9.884974,232,0.979765,"DV-0.10.0",183463,189200,1841,5737,1700,0,"DV-0.10.0","SNP"
9.884974,232,0.923077,"GATK-3.5.0",6,7,0,1,0,0,"GATK-3.5.0","INDEL"
9.884974,232,0.951599,"GATK-3.5.0",173477,189200,1924,15723,1898,0,"GATK-3.5.0","SNP"
9.884974,232,0.923077,"GATK-4.1.0.0",6,7,0,1,0,0,"GATK-4.1.0.0","INDEL"
9.884974,232,0.971049,"GATK-4.1.0.0",180386,189200,1942,8814,1905,0,"GATK-4.1.0.0","SNP"
10.050929,55,1,"DV-0.10.0",8,8,0,0,0,0,"DV-0.10.0","INDEL"
10.050929,55,0.977547,"DV-0.10.0",315554,326338,3712,10784,3429,0,"DV-0.10.0","SNP"
10.050929,55,1,"GATK-3.5.0",8,8,0,0,0,0,"GATK-3.5.0","INDEL"
10.050929,55,0.945423,"GATK-3.5.0",296113,326338,3963,30225,3912,0,"GATK-3.5.0","SNP"
10.050929,55,1,"GATK-4.1.0.0",8,8,0,0,0,0,"GATK-4.1.0.0","INDEL"
10.050929,55,0.96703,"GATK-4.1.0.0",309258,326338,4008,17080,3921,0,"GATK-4.1.0.0","SNP"
10.127726,211,0.857143,"DV-0.10.0",6,7,1,1,1,0,"DV-0.10.0","INDEL"
10.127726,211,0.982373,"DV-0.10.0",185306,190494,1462,5188,1359,0,"DV-0.10.0","SNP"
10.127726,211,1,"GATK-3.5.0",7,7,0,0,0,0,"GATK-3.5.0","INDEL"
10.127726,211,0.951871,"GATK-3.5.0",174496,190494,1648,15998,1613,0,"GATK-3.5.0","SNP"
10.127726,211,1,"GATK-4.1.0.0",7,7,0,0,0,0,"GATK-4.1.0.0","INDEL"
10.127726,211,0.972904,"GATK-4.1.0.0",182010,190494,1654,8484,1612,0,"GATK-4.1.0.0","SNP"
