variant,ngenotype,af,r2,truth,phaser,refinement,caller
SNP,48571,0.323274,0.981836,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
SNP,35505,0.724105,0.983941,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
INDEL,2633,0.000614085,0.180533,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
INDEL,3956,0.00151516,0.355062,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
INDEL,8374,0.00344159,0.536105,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
INDEL,8636,0.00732891,0.634414,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
INDEL,9466,0.0144854,0.739272,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
INDEL,13395,0.0329068,0.800085,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
INDEL,9737,0.0722992,0.823122,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
INDEL,8800,0.143237,0.843311,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
INDEL,8993,0.315794,0.90374,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
INDEL,4310,0.698718,0.942602,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
SNP,33248,0.000629698,0.447926,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,DV-0.10.0
SNP,38910,0.00149065,0.6637,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,DV-0.10.0
SNP,69016,0.00343611,0.788345,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,DV-0.10.0
SNP,59751,0.00730836,0.858768,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,DV-0.10.0
SNP,59214,0.0144803,0.909212,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,DV-0.10.0
SNP,72793,0.032604,0.947966,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,DV-0.10.0
SNP,48374,0.0719597,0.964643,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,DV-0.10.0
SNP,41852,0.143461,0.97256,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,DV-0.10.0
SNP,48571,0.323274,0.979792,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,DV-0.10.0
SNP,35505,0.724105,0.982869,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,DV-0.10.0
INDEL,2633,0.000614085,0.182144,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,DV-0.10.0
INDEL,3956,0.00151516,0.329815,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,DV-0.10.0
INDEL,8374,0.00344159,0.510808,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,DV-0.10.0
INDEL,8636,0.00732891,0.591485,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,DV-0.10.0
INDEL,9466,0.0144854,0.659674,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,DV-0.10.0
INDEL,13395,0.0329068,0.695481,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,DV-0.10.0
INDEL,9737,0.0722992,0.704851,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,DV-0.10.0
INDEL,8800,0.143237,0.719345,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,DV-0.10.0
INDEL,8993,0.315794,0.801693,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,DV-0.10.0
INDEL,4310,0.698718,0.885215,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,DV-0.10.0
SNP,33248,0.000629698,0.578165,GATK-3.5.0,SHAPEIT-4.1.3,with genotype refinement,GATK-3.5.0
SNP,38910,0.00149065,0.724832,GATK-3.5.0,SHAPEIT-4.1.3,with genotype refinement,GATK-3.5.0
SNP,69016,0.00343611,0.823754,GATK-3.5.0,SHAPEIT-4.1.3,with genotype refinement,GATK-3.5.0
SNP,59751,0.00730836,0.878449,GATK-3.5.0,SHAPEIT-4.1.3,with genotype refinement,GATK-3.5.0
SNP,59214,0.0144803,0.923758,GATK-3.5.0,SHAPEIT-4.1.3,with genotype refinement,GATK-3.5.0
SNP,72793,0.032604,0.956644,GATK-3.5.0,SHAPEIT-4.1.3,with genotype refinement,GATK-3.5.0
SNP,48374,0.0719597,0.97296,GATK-3.5.0,SHAPEIT-4.1.3,with genotype refinement,GATK-3.5.0
SNP,41852,0.143461,0.981011,GATK-3.5.0,SHAPEIT-4.1.3,with genotype refinement,GATK-3.5.0
SNP,48571,0.323274,0.987645,GATK-3.5.0,SHAPEIT-4.1.3,with genotype refinement,GATK-3.5.0
SNP,35505,0.724105,0.986929,GATK-3.5.0,SHAPEIT-4.1.3,with genotype refinement,GATK-3.5.0
INDEL,2633,0.000614085,0.288986,GATK-3.5.0,SHAPEIT-4.1.3,with genotype refinement,GATK-3.5.0
INDEL,3956,0.00151516,0.461511,GATK-3.5.0,SHAPEIT-4.1.3,with genotype refinement,GATK-3.5.0
INDEL,8374,0.00344159,0.610227,GATK-3.5.0,SHAPEIT-4.1.3,with genotype refinement,GATK-3.5.0
INDEL,8636,0.00732891,0.694231,GATK-3.5.0,SHAPEIT-4.1.3,with genotype refinement,GATK-3.5.0
INDEL,9466,0.0144854,0.784651,GATK-3.5.0,SHAPEIT-4.1.3,with genotype refinement,GATK-3.5.0
INDEL,13395,0.0329068,0.836902,GATK-3.5.0,SHAPEIT-4.1.3,with genotype refinement,GATK-3.5.0
INDEL,9737,0.0722992,0.857693,GATK-3.5.0,SHAPEIT-4.1.3,with genotype refinement,GATK-3.5.0
INDEL,8800,0.143237,0.873962,GATK-3.5.0,SHAPEIT-4.1.3,with genotype refinement,GATK-3.5.0
INDEL,8993,0.315794,0.929228,GATK-3.5.0,SHAPEIT-4.1.3,with genotype refinement,GATK-3.5.0
INDEL,4310,0.698718,0.95551,GATK-3.5.0,SHAPEIT-4.1.3,with genotype refinement,GATK-3.5.0
SNP,33248,0.000629698,0.502921,GATK-3.5.0,SHAPEIT-4.1.3,with genotype refinement,DV-0.10.0
SNP,38910,0.00149065,0.701222,GATK-3.5.0,SHAPEIT-4.1.3,with genotype refinement,DV-0.10.0
SNP,69016,0.00343611,0.808949,GATK-3.5.0,SHAPEIT-4.1.3,with genotype refinement,DV-0.10.0
SNP,59751,0.00730836,0.872146,GATK-3.5.0,SHAPEIT-4.1.3,with genotype refinement,DV-0.10.0
SNP,59214,0.0144803,0.918095,GATK-3.5.0,SHAPEIT-4.1.3,with genotype refinement,DV-0.10.0
SNP,72793,0.032604,0.952137,GATK-3.5.0,SHAPEIT-4.1.3,with genotype refinement,DV-0.10.0
SNP,48374,0.0719597,0.967528,GATK-3.5.0,SHAPEIT-4.1.3,with genotype refinement,DV-0.10.0
SNP,41852,0.143461,0.974853,GATK-3.5.0,SHAPEIT-4.1.3,with genotype refinement,DV-0.10.0
SNP,48571,0.323274,0.98173,GATK-3.5.0,SHAPEIT-4.1.3,with genotype refinement,DV-0.10.0
SNP,35505,0.724105,0.979816,GATK-3.5.0,SHAPEIT-4.1.3,with genotype refinement,DV-0.10.0
INDEL,2633,0.000614085,0.199653,GATK-3.5.0,SHAPEIT-4.1.3,with genotype refinement,DV-0.10.0
INDEL,3956,0.00151516,0.325611,GATK-3.5.0,SHAPEIT-4.1.3,with genotype refinement,DV-0.10.0
INDEL,8374,0.00344159,0.517079,GATK-3.5.0,SHAPEIT-4.1.3,with genotype refinement,DV-0.10.0
INDEL,8636,0.00732891,0.59744,GATK-3.5.0,SHAPEIT-4.1.3,with genotype refinement,DV-0.10.0
INDEL,9466,0.0144854,0.660248,GATK-3.5.0,SHAPEIT-4.1.3,with genotype refinement,DV-0.10.0
INDEL,13395,0.0329068,0.699364,GATK-3.5.0,SHAPEIT-4.1.3,with genotype refinement,DV-0.10.0
INDEL,9737,0.0722992,0.70917,GATK-3.5.0,SHAPEIT-4.1.3,with genotype refinement,DV-0.10.0
INDEL,8800,0.143237,0.725445,GATK-3.5.0,SHAPEIT-4.1.3,with genotype refinement,DV-0.10.0
INDEL,8993,0.315794,0.807691,GATK-3.5.0,SHAPEIT-4.1.3,with genotype refinement,DV-0.10.0
INDEL,4310,0.698718,0.876187,GATK-3.5.0,SHAPEIT-4.1.3,with genotype refinement,DV-0.10.0
SNP,33248,0.000629698,0.500338,GATK-3.5.0,SHAPEIT-4.1.3,no genotype refinement,GATK-3.5.0
SNP,38910,0.00149065,0.669617,GATK-3.5.0,SHAPEIT-4.1.3,no genotype refinement,GATK-3.5.0
SNP,69016,0.00343611,0.79344,GATK-3.5.0,SHAPEIT-4.1.3,no genotype refinement,GATK-3.5.0
SNP,59751,0.00730836,0.856289,GATK-3.5.0,SHAPEIT-4.1.3,no genotype refinement,GATK-3.5.0
SNP,59214,0.0144803,0.908779,GATK-3.5.0,SHAPEIT-4.1.3,no genotype refinement,GATK-3.5.0
SNP,72793,0.032604,0.948293,GATK-3.5.0,SHAPEIT-4.1.3,no genotype refinement,GATK-3.5.0
SNP,48374,0.0719597,0.966792,GATK-3.5.0,SHAPEIT-4.1.3,no genotype refinement,GATK-3.5.0
SNP,41852,0.143461,0.975763,GATK-3.5.0,SHAPEIT-4.1.3,no genotype refinement,GATK-3.5.0
SNP,48571,0.323274,0.983389,GATK-3.5.0,SHAPEIT-4.1.3,no genotype refinement,GATK-3.5.0
SNP,35505,0.724105,0.985195,GATK-3.5.0,SHAPEIT-4.1.3,no genotype refinement,GATK-3.5.0
INDEL,2633,0.000614085,0.249075,GATK-3.5.0,SHAPEIT-4.1.3,no genotype refinement,GATK-3.5.0
INDEL,3956,0.00151516,0.417678,GATK-3.5.0,SHAPEIT-4.1.3,no genotype refinement,GATK-3.5.0
INDEL,8374,0.00344159,0.568508,GATK-3.5.0,SHAPEIT-4.1.3,no genotype refinement,GATK-3.5.0
INDEL,8636,0.00732891,0.664826,GATK-3.5.0,SHAPEIT-4.1.3,no genotype refinement,GATK-3.5.0
INDEL,9466,0.0144854,0.759731,GATK-3.5.0,SHAPEIT-4.1.3,no genotype refinement,GATK-3.5.0
INDEL,13395,0.0329068,0.813992,GATK-3.5.0,SHAPEIT-4.1.3,no genotype refinement,GATK-3.5.0
INDEL,9737,0.0722992,0.833569,GATK-3.5.0,SHAPEIT-4.1.3,no genotype refinement,GATK-3.5.0
INDEL,8800,0.143237,0.852438,GATK-3.5.0,SHAPEIT-4.1.3,no genotype refinement,GATK-3.5.0
INDEL,8993,0.315794,0.910336,GATK-3.5.0,SHAPEIT-4.1.3,no genotype refinement,GATK-3.5.0
INDEL,4310,0.698718,0.946415,GATK-3.5.0,SHAPEIT-4.1.3,no genotype refinement,GATK-3.5.0
SNP,33248,0.000629698,0.583779,GATK-3.5.0,SHAPEIT-4.1.3,no genotype refinement,DV-0.10.0
SNP,38910,0.00149065,0.728002,GATK-3.5.0,SHAPEIT-4.1.3,no genotype refinement,DV-0.10.0
SNP,69016,0.00343611,0.819688,GATK-3.5.0,SHAPEIT-4.1.3,no genotype refinement,DV-0.10.0
SNP,59751,0.00730836,0.877149,GATK-3.5.0,SHAPEIT-4.1.3,no genotype refinement,DV-0.10.0
SNP,59214,0.0144803,0.919184,GATK-3.5.0,SHAPEIT-4.1.3,no genotype refinement,DV-0.10.0
SNP,72793,0.032604,0.952137,GATK-3.5.0,SHAPEIT-4.1.3,no genotype refinement,DV-0.10.0
SNP,48374,0.0719597,0.966826,GATK-3.5.0,SHAPEIT-4.1.3,no genotype refinement,DV-0.10.0
SNP,41852,0.143461,0.974088,GATK-3.5.0,SHAPEIT-4.1.3,no genotype refinement,DV-0.10.0
SNP,48571,0.323274,0.980616,GATK-3.5.0,SHAPEIT-4.1.3,no genotype refinement,DV-0.10.0
SNP,35505,0.724105,0.983468,GATK-3.5.0,SHAPEIT-4.1.3,no genotype refinement,DV-0.10.0
INDEL,2633,0.000614085,0.233588,GATK-3.5.0,SHAPEIT-4.1.3,no genotype refinement,DV-0.10.0
INDEL,3956,0.00151516,0.365911,GATK-3.5.0,SHAPEIT-4.1.3,no genotype refinement,DV-0.10.0
INDEL,8374,0.00344159,0.539283,GATK-3.5.0,SHAPEIT-4.1.3,no genotype refinement,DV-0.10.0
INDEL,8636,0.00732891,0.610156,GATK-3.5.0,SHAPEIT-4.1.3,no genotype refinement,DV-0.10.0
INDEL,9466,0.0144854,0.672058,GATK-3.5.0,SHAPEIT-4.1.3,no genotype refinement,DV-0.10.0
INDEL,13395,0.0329068,0.701586,GATK-3.5.0,SHAPEIT-4.1.3,no genotype refinement,DV-0.10.0
INDEL,9737,0.0722992,0.709565,GATK-3.5.0,SHAPEIT-4.1.3,no genotype refinement,DV-0.10.0
INDEL,8800,0.143237,0.723773,GATK-3.5.0,SHAPEIT-4.1.3,no genotype refinement,DV-0.10.0
INDEL,8993,0.315794,0.804936,GATK-3.5.0,SHAPEIT-4.1.3,no genotype refinement,DV-0.10.0
INDEL,4310,0.698718,0.886967,GATK-3.5.0,SHAPEIT-4.1.3,no genotype refinement,DV-0.10.0
SNP,31790,0.000664328,0.376443,DV-0.10.0,Eagle-2.4.1,with genotype refinement,GATK-3.5.0
SNP,45449,0.00149124,0.558149,DV-0.10.0,Eagle-2.4.1,with genotype refinement,GATK-3.5.0
SNP,72260,0.00335384,0.717396,DV-0.10.0,Eagle-2.4.1,with genotype refinement,GATK-3.5.0
SNP,64097,0.00712918,0.814576,DV-0.10.0,Eagle-2.4.1,with genotype refinement,GATK-3.5.0
SNP,61685,0.0143208,0.880581,DV-0.10.0,Eagle-2.4.1,with genotype refinement,GATK-3.5.0
SNP,74694,0.0324702,0.927617,DV-0.10.0,Eagle-2.4.1,with genotype refinement,GATK-3.5.0
SNP,49327,0.0719107,0.943166,DV-0.10.0,Eagle-2.4.1,with genotype refinement,GATK-3.5.0
SNP,42353,0.143454,0.951713,DV-0.10.0,Eagle-2.4.1,with genotype refinement,GATK-3.5.0
SNP,49353,0.323146,0.944262,DV-0.10.0,Eagle-2.4.1,with genotype refinement,GATK-3.5.0
SNP,37203,0.731032,0.804561,DV-0.10.0,Eagle-2.4.1,with genotype refinement,GATK-3.5.0
INDEL,4144,0.000615946,0.165321,DV-0.10.0,Eagle-2.4.1,with genotype refinement,GATK-3.5.0
INDEL,4903,0.00149436,0.367845,DV-0.10.0,Eagle-2.4.1,with genotype refinement,GATK-3.5.0
INDEL,8855,0.00335889,0.571852,DV-0.10.0,Eagle-2.4.1,with genotype refinement,GATK-3.5.0
INDEL,8182,0.00722006,0.712535,DV-0.10.0,Eagle-2.4.1,with genotype refinement,GATK-3.5.0
INDEL,7999,0.0144236,0.789467,DV-0.10.0,Eagle-2.4.1,with genotype refinement,GATK-3.5.0
INDEL,10583,0.032701,0.863518,DV-0.10.0,Eagle-2.4.1,with genotype refinement,GATK-3.5.0
INDEL,7369,0.07223,0.889587,DV-0.10.0,Eagle-2.4.1,with genotype refinement,GATK-3.5.0
INDEL,6637,0.144027,0.899692,DV-0.10.0,Eagle-2.4.1,with genotype refinement,GATK-3.5.0
INDEL,7649,0.320946,0.917755,DV-0.10.0,Eagle-2.4.1,with genotype refinement,GATK-3.5.0
INDEL,4523,0.721766,0.573518,DV-0.10.0,Eagle-2.4.1,with genotype refinement,GATK-3.5.0
SNP,31790,0.000664328,0.406357,DV-0.10.0,Eagle-2.4.1,with genotype refinement,DV-0.10.0
SNP,45449,0.00149124,0.611009,DV-0.10.0,Eagle-2.4.1,with genotype refinement,DV-0.10.0
SNP,72260,0.00335384,0.750462,DV-0.10.0,Eagle-2.4.1,with genotype refinement,DV-0.10.0
SNP,64097,0.00712918,0.836576,DV-0.10.0,Eagle-2.4.1,with genotype refinement,DV-0.10.0
SNP,61685,0.0143208,0.902146,DV-0.10.0,Eagle-2.4.1,with genotype refinement,DV-0.10.0
SNP,74694,0.0324702,0.949867,DV-0.10.0,Eagle-2.4.1,with genotype refinement,DV-0.10.0
SNP,49327,0.0719107,0.968273,DV-0.10.0,Eagle-2.4.1,with genotype refinement,DV-0.10.0
SNP,42353,0.143454,0.978801,DV-0.10.0,Eagle-2.4.1,with genotype refinement,DV-0.10.0
SNP,49353,0.323146,0.986234,DV-0.10.0,Eagle-2.4.1,with genotype refinement,DV-0.10.0
SNP,37203,0.731032,0.912237,DV-0.10.0,Eagle-2.4.1,with genotype refinement,DV-0.10.0
INDEL,4144,0.000615946,0.262082,DV-0.10.0,Eagle-2.4.1,with genotype refinement,DV-0.10.0
INDEL,4903,0.00149436,0.508042,DV-0.10.0,Eagle-2.4.1,with genotype refinement,DV-0.10.0
INDEL,8855,0.00335889,0.632297,DV-0.10.0,Eagle-2.4.1,with genotype refinement,DV-0.10.0
INDEL,8182,0.00722006,0.732876,DV-0.10.0,Eagle-2.4.1,with genotype refinement,DV-0.10.0
INDEL,7999,0.0144236,0.82056,DV-0.10.0,Eagle-2.4.1,with genotype refinement,DV-0.10.0
INDEL,10583,0.032701,0.884621,DV-0.10.0,Eagle-2.4.1,with genotype refinement,DV-0.10.0
INDEL,7369,0.07223,0.912002,DV-0.10.0,Eagle-2.4.1,with genotype refinement,DV-0.10.0
INDEL,6637,0.144027,0.923889,DV-0.10.0,Eagle-2.4.1,with genotype refinement,DV-0.10.0
INDEL,7649,0.320946,0.93921,DV-0.10.0,Eagle-2.4.1,with genotype refinement,DV-0.10.0
INDEL,4523,0.721766,0.590465,DV-0.10.0,Eagle-2.4.1,with genotype refinement,DV-0.10.0
SNP,31790,0.000664328,0.31893,DV-0.10.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
SNP,45449,0.00149124,0.506368,DV-0.10.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
SNP,72260,0.00335384,0.682547,DV-0.10.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
SNP,64097,0.00712918,0.790176,DV-0.10.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
SNP,61685,0.0143208,0.863252,DV-0.10.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
